run_id,model_id,model_name,folder,params_M,gflops,epochs,mAP50,mAP50_95,precision,recall,inference_ms,train_time_min,date,notes,is_best
1,v0,v0_baseline (YOLOv8n thermal pretrained),models/v0_baseline,3.01,8.1,50,0.8664,0.6198,0.8034,0.8070,3.37,12.5,2026-08-29 09:59:25,"pipeline validation — stock YOLOv8n, thermal only, COCO pretrained",False
2,v1,v1_thermal_stem (YOLOv8n + ThermalStem),models/v1_thermal_stem,3.01,8.2,50,0.8425,0.5953,0.8105,0.7909,3.62,13.8,2026-08-29 10:18:26,thermal-aware 2-stage contrast stem replacing layer 0,False
3,v2,v2_cbam_backbone (YOLOv8n + CBAM Backbone),models/v2_cbam_backbone,3.02,8.3,50,0.6791,0.4195,0.7007,0.5797,3.78,13.3,2026-08-29 10:34:18,CBAM channel+spatial attention inserted after every C2f block in backbone,False
4,v3,v3_bifpn_neck (YOLOv8n + BiFPN Neck),models/v3_bifpn_neck,3.02,8.5,50,0.6834,0.4296,0.7192,0.5773,4.06,13.7,2026-08-29 10:49:09,BiFPN weighted bidirectional feature pyramid neck replacing PANet,False
5,v4,v4_rgb_distill (YOLOv8n + RGB Distillation),models/v4_rgb_distill,3.01,8.1,50,0.8746,0.6165,0.8710,0.7811,3.97,12.2,2026-08-29 11:11:00,cross-modality cosine feature distillation from frozen RGB teacher,False
6,v5,v5_c2f_eca (YOLOv8n + C2f_ECA Backbone),models/v5_c2f_eca,3.01,8.1,50,0.7082,0.4433,0.6984,0.6264,3.53,12.0,2026-08-29 11:24:12,ECA channel attention inside residual bottlenecks of backbone C2f blocks,False
7,v6,v6_c2f_dcn (YOLOv8n + C2f_DCN Backbone),models/v6_c2f_dcn,3.09,8.3,50,0.6798,0.4244,0.6724,0.6237,4.51,18.2,2026-08-29 11:50:41,Modulated DCNv2 deformable convolutions in backbone C2f bottlenecks,False
8,v0_eval,v0_baseline (Stock YOLOv8n) [Official Test],models/v0_baseline,3.01,8.1,50,0.8622,0.6292,0.8274,0.8335,2.74,0.1,2026-08-29 11:51:25,official test split evaluation on held-out data/splits/test.txt (108 images),False
9,v1_eval,v1_thermal_stem (Thermal Stem) [Official Test],models/v1_thermal_stem,3.01,8.2,50,0.8447,0.6094,0.8135,0.8237,2.72,0.0,2026-08-29 11:51:27,official test split evaluation on held-out data/splits/test.txt (108 images),False
10,v2_eval,v2_cbam_backbone (CBAM Attention) [Official Test],models/v2_cbam_backbone,3.02,8.3,50,0.6614,0.4048,0.6390,0.6750,2.71,0.0,2026-08-29 11:51:29,official test split evaluation on held-out data/splits/test.txt (108 images),False
11,v3_eval,v3_bifpn_neck (BiFPN Neck) [Official Test],models/v3_bifpn_neck,3.02,8.5,50,0.6884,0.4381,0.6919,0.6079,2.06,0.0,2026-08-29 11:51:31,official test split evaluation on held-out data/splits/test.txt (108 images),False
12,v4_eval,v4_rgb_distill (RGB Distillation) [Official Test],models/v4_rgb_distill,3.01,8.1,50,0.8587,0.6257,0.8636,0.7784,2.39,0.0,2026-08-29 11:51:33,official test split evaluation on held-out data/splits/test.txt (108 images),False
13,v5_eval,v5_c2f_eca (C2f_ECA Backbone) [Official Test],models/v5_c2f_eca,3.01,8.1,50,0.6653,0.4339,0.6908,0.6391,3.87,0.0,2026-08-29 11:51:36,official test split evaluation on held-out data/splits/test.txt (108 images),False
14,v6_eval,v6_c2f_dcn (C2f_DCN Backbone) [Official Test],models/v6_c2f_dcn,3.09,8.3,50,0.6665,0.4389,0.6264,0.6439,4.00,0.0,2026-08-29 11:51:38,official test split evaluation on held-out data/splits/test.txt (108 images),False
15,v5b,v5b_c2f_eca (YOLOv8n + C2f_ECA Backbone [Pretrained Fixed]),models/v5b_c2f_eca,3.01,8.1,50,0.8715,0.6208,0.8442,0.7826,2.81,11.2,2026-08-29 12:14:24,v5b re-run with explicit pretrained=yolov8n.pt transfer fixing silent random init,False
16,v5b_eval,v5b_c2f_eca (C2f_ECA [Pretrained Fixed]) [Official Test],models/v5b_c2f_eca,3.01,8.1,50,0.8739,0.6341,0.8722,0.8077,2.81,11.2,2026-08-29 12:14:24,official test split evaluation with fixed pretrained weights,False
17,v7,v7_c2f_cbam (YOLOv8n + CBAM inside Bottlenecks),models/v7_c2f_cbam,3.01,8.2,50,0.8723,0.6215,0.8662,0.8051,3.92,13.0,2026-08-29 12:28:07,CBAM channel+spatial attention inside residual bottleneck branch with pretrained transfer,False
18,v7_eval,v7_c2f_cbam (CBAM in Bottleneck) [Official Test],models/v7_c2f_cbam,3.01,8.2,50,0.8596,0.6272,0.8161,0.8194,3.92,13.0,2026-08-29 12:28:07,official test split evaluation on held-out data/splits/test.txt (108 images),False
19,v8,v8_c2f_pconv (YOLOv8n + FasterNet PConv in Bottlenecks),models/v8_c2f_pconv,2.59,7.0,50,0.8155,0.5664,0.8127,0.7338,2.89,11.7,2026-08-29 12:40:28,FasterNet 1/4 partial convolution inside backbone bottlenecks with pretrained weights,False
20,v8_eval,v8_c2f_pconv (FasterNet PConv in Bottleneck) [Official Test],models/v8_c2f_pconv,2.59,7.0,50,0.8109,0.5671,0.8439,0.7352,2.89,11.7,2026-08-29 12:40:28,official test split evaluation on held-out data/splits/test.txt (108 images),False
21,v9,v9_c2f_eca_all (YOLOv8n + Full-Network C2f_ECA),models/v9_c2f_eca_all,3.01,8.2,50,0.8659,0.6198,0.8453,0.7621,4.12,11.9,2026-08-29 12:52:50,ECA channel attention in all 8 C2f blocks (Backbone + PANet Neck) with pretrained transfer,False
22,v9_eval,v9_c2f_eca_all (Full-Network C2f_ECA) [Official Test],models/v9_c2f_eca_all,3.01,8.2,50,0.8545,0.6111,0.8581,0.7770,4.12,11.9,2026-08-29 12:52:50,official test split evaluation on held-out data/splits/test.txt (108 images),False
23,v10,v10_c2f_eca_adaptive (YOLOv8n + Adaptive Kernel ECA),models/v10_c2f_eca_adaptive,3.01,8.2,50,0.8693,0.6211,0.8227,0.8178,3.55,11.9,2026-08-29 13:05:15,Adaptive ECA kernel k=3 (P2/P3) and k=5 (P4/P5) in backbone bottlenecks with pretrained transfer,False
24,v10_eval,v10_c2f_eca_adaptive (Adaptive ECA) [Official Test],models/v10_c2f_eca_adaptive,3.01,8.2,50,0.8551,0.6157,0.8789,0.7974,3.55,11.9,2026-08-29 13:05:15,official test split evaluation on held-out data/splits/test.txt (108 images),False
25,v11,v11_c2f_eca_deep (YOLOv8n + Deepened C2f_ECA Backbone),models/v11_c2f_eca_deep,3.44,9.3,50,0.8212,0.5732,0.8081,0.7411,3.26,12.6,2026-08-29 13:18:26,"Deepened C2f_ECA backbone bottleneck depth n=[2, 3, 3, 2] with pretrained transfer",False
26,v11_eval,v11_c2f_eca_deep (Deepened C2f_ECA) [Official Test],models/v11_c2f_eca_deep,3.44,9.3,50,0.8181,0.5869,0.7761,0.7620,3.26,12.6,2026-08-29 13:18:26,official test split evaluation on held-out data/splits/test.txt (108 images),False
